Country,year,GDP_pc,product_hr,product_emp,work_hour,work_hour_sq,elderly,unemp,gap,RnD,min_wage,min_wage_sq,edu_tertiary
Australia,2000,10.2488267,3.48440986,10.99704153,1779.63,3167082.937,12.425,6.282619134,17.2,1.5763,10.55,111.3025,27.475746
Australia,2001,10.29129685,3.534776306,11.03801281,1746.37,3049808.177,12.55,6.742314544,14.3,1.664315,10.46,109.4116,28.977322
Australia,2002,10.33335134,3.572604565,11.06493156,1741.82,3033936.912,12.659,6.367617339,15,1.75233,10.56,111.5136,30.759785
Australia,2003,10.38113215,3.613438679,11.10799188,1735.1,3010572.01,12.747,5.928697905,13,1.804335,10.7,114.49,31.314152
Australia,2004,10.42989669,3.638485439,11.13471018,1733.74,3005854.388,12.85,5.394725774,14.4,1.85634,10.89,118.5921,30.82308
Australia,2005,10.47928058,3.676580785,11.17305681,1732.26,3000724.708,12.959,5.032480197,15.8,2.02171,10.97,120.3409,31.691153
Australia,2006,10.54124839,3.720097001,11.21632048,1721.66,2964113.156,13.027,4.782292291,16.7,2.18708,10.81,116.8561,33.022213
Australia,2007,10.5865274,3.759715642,11.25346905,1722.64,2967488.57,13.139,4.376954164,15.4,2.297,11.16,124.5456,33.73671
Australia,2008,10.59900276,3.807597586,11.27699896,1720.88,2961427.974,13.201,4.234158386,11.9,2.40692,10.97,120.3409,36.149986
Australia,2009,10.63622381,3.835250141,11.31913605,1692.33,2863980.829,13.326,5.560666223,16.4,2.39334,11.11,123.4321,36.881355
Australia,2010,10.66399798,3.87060279,11.3409121,1699.94,2889796.004,13.556,5.211326244,14,2.37976,11.06,122.3236,37.604309
Australia,2011,10.70142956,3.895190572,11.37479579,1699.92,2889728.006,13.822,5.081091691,16,2.24145,11.14,124.0996,38.342072
Australia,2012,10.68919524,3.89856412,11.37141287,1692.55,2864725.503,14.137,5.22357559,13.8,2.211795,11.3,127.69,41.282364
Australia,2013,10.77396917,3.992113829,11.46804217,1689.38,2854004.784,14.4,5.661975738,18,2.18214,11.33,128.3689,39.539928
Australia,2014,10.77139934,3.987380799,11.46083969,1683.27,2833397.893,14.663,6.07675792,15.4,2.05255,11.36,129.0496,41.901855
Australia,2015,10.76534422,3.99345594,11.45079941,1683.55,2834340.603,14.924,6.054210508,13,1.92296,11.5,132.25,42.888756
Australia,2016,10.82594733,4.044257698,11.50585653,1673.4,2800267.56,15.18,5.709901434,11.5,1.947000044,11.63,135.2569,43.7439
Australia,2017,10.84419758,4.06227965,11.51557472,1674.9,2805290.01,15.409,5.591125763,11.7,1.971340627,11.74,137.8276,45.355675
