Country,year,GDP_pc,product_hr,product_emp,work_hour,work_hour_sq,elderly,unemp,gap,RnD,min_wage,min_wage_sq,edu_tertiary
Australia,2000,10.2488267,3.48440986,10.99704153,1779.63,3167082.937,12.425,6.282619134,17.2,1.5763,10.55,111.3025,27.475746
Australia,2001,10.29129685,3.534776306,11.03801281,1746.37,3049808.177,12.55,6.742314544,14.3,0,10.46,109.4116,28.977322
Australia,2002,10.33335134,3.572604565,11.06493156,1741.82,3033936.912,12.659,6.367617339,15,1.75233,10.56,111.5136,30.759785
Australia,2003,10.38113215,3.613438679,11.10799188,1735.1,3010572.01,12.747,5.928697905,13,0,10.7,114.49,31.314152
Australia,2004,10.42989669,3.638485439,11.13471018,1733.74,3005854.388,12.85,5.394725774,14.4,1.85634,10.89,118.5921,30.82308
Australia,2005,10.47928058,3.676580785,11.17305681,1732.26,3000724.708,12.959,5.032480197,15.8,0,10.97,120.3409,31.691153
Australia,2006,10.54124839,3.720097001,11.21632048,1721.66,2964113.156,13.027,4.782292291,16.7,2.18708,10.81,116.8561,33.022213
Australia,2007,10.5865274,3.759715642,11.25346905,1722.64,2967488.57,13.139,4.376954164,15.4,0,11.16,124.5456,33.73671
Australia,2008,10.59900276,3.807597586,11.27699896,1720.88,2961427.974,13.201,4.234158386,11.9,2.40692,10.97,120.3409,36.149986
Australia,2009,10.63622381,3.835250141,11.31913605,1692.33,2863980.829,13.326,5.560666223,16.4,0,11.11,123.4321,36.881355
Australia,2010,10.66399798,3.87060279,11.3409121,1699.94,2889796.004,13.556,5.211326244,14,2.37976,11.06,122.3236,37.604309
Australia,2011,10.70142956,3.895190572,11.37479579,1699.92,2889728.006,13.822,5.081091691,16,2.24145,11.14,124.0996,38.342072
Australia,2012,10.68919524,3.89856412,11.37141287,1692.55,2864725.503,14.137,5.22357559,13.8,0,11.3,127.69,41.282364
Australia,2013,10.77396917,3.992113829,11.46804217,1689.38,2854004.784,14.4,5.661975738,18,2.18214,11.33,128.3689,39.539928
Australia,2014,10.77139934,3.987380799,11.46083969,1683.27,2833397.893,14.663,6.07675792,15.4,0,11.36,129.0496,41.901855
Australia,2015,10.76534422,3.99345594,11.45079941,1683.55,2834340.603,14.924,6.054210508,13,1.92296,11.5,132.25,42.888756
Australia,2016,10.82594733,4.044257698,11.50585653,1673.4,2800267.56,15.18,5.709901434,11.5,0,11.63,135.2569,43.7439
Australia,2017,10.84419758,4.06227965,11.51557472,1674.9,2805290.01,15.409,5.591125763,11.7,0,11.74,137.8276,45.355675
Australia,2018,10.89047818,4.104087578,11.55385574,1665.04,2772358.202,15.663,5.298299944,11.7,,12.14,147.3796,45.727478
Austria,2000,10.28830814,3.618969948,11.04611409,1681,2825761,15.426,3.53461546,23.1,1.88602,,0,
Austria,2001,10.29942397,3.633907956,11.05388789,1669,2785561,15.463,3.590759246,22.8,1.9921,,0,
Austria,2002,10.34746965,3.689647809,11.10782864,1666,2775556,15.464,3.952057851,24.5,2.06598,,0,
Austria,2003,10.37728754,3.722236084,11.13560343,1658,2748964,15.444,4.285047436,21.1,2.17456,,0,
Austria,2004,10.4268431,3.770636522,11.18520941,1660,2755600,15.711,5.488431877,22.4,2.16612,,0,24.783438
Austria,2005,10.46380474,3.815781981,11.21701325,1638,2683044,16.223,5.627152364,22,2.37324,,0,24.639351
Austria,2006,10.53528823,3.884893362,11.2763086,1622,2630884,16.665,5.242497229,21.9,2.35923,,0,25.356432
Austria,2007,10.58129465,3.92226763,11.30749855,1612,2598544,17.026,4.858206331,21.6,2.41843,,0,25.092672
Austria,2008,10.62900566,3.958641843,11.33952088,1605,2576025,17.262,4.127410857,20.9,2.56945,,0,26.191858
Austria,2009,10.62051052,3.983721055,11.33872298,1564,2446096,17.526,5.301832277,19.4,2.59674,,0,26.895824
Austria,2010,10.6465968,4.00911663,11.35963279,1557,2424249,17.672,4.820354847,19.2,2.7261,,0,27.743721
Austria,2011,10.70255231,4.049712036,11.40343437,1562,2439844,17.69,4.564053954,18.6,2.66868,,0,27.956152
Austria,2012,10.74672694,4.102235976,11.44177367,1540,2371600,17.947,4.864471424,18.2,2.91472,,0,28.739943
Austria,2013,10.77763621,4.14548965,11.47523933,1525,2325625,18.19,5.334924643,18.1,2.95492,,0,29.738844
Austria,2014,10.7957629,4.167907971,11.49173854,1516,2298256,18.399,5.618473896,17.7,3.08506,,0,29.904896
Austria,2015,10.81888701,4.205608826,11.51882921,1500,2250000,18.477,5.722094067,17,3.04771,,0,30.550726
Austria,2016,10.8707447,4.24926339,11.57045194,1512,2286144,18.495,6.013551509,15.7,3.15124,,0,31.383963
Austria,2017,10.90874966,4.277821118,11.59834808,1511,2283121,18.599,5.499240299,15.4,3.15925,,0,32.39439
Austria,2018,10.94886346,4.305729532,11.6262565,1511,2283121,18.759,4.847877333,,,,0,32.711426
Belgium,2000,10.23261558,3.77231976,11.14666032,1595,2544025,16.802,6.857804408,13.6,1.92236,10.32,106.5024,27.084993
Belgium,2001,10.26814152,3.801752634,11.17200325,1588,2521744,16.896,6.56995148,13.2,2.02168,10.38,107.7444,27.626753
Belgium,2002,10.31831715,3.861877326,11.22440634,1583,2505889,16.979,7.52562294,11.6,1.89073,10.52,110.6704,28.134819
Belgium,2003,10.33848488,3.89016082,11.24966634,1578,2490084,17.07,8.175400939,15.2,1.83184,10.46,109.4116,29.031809
Belgium,2004,10.37455711,3.92385254,11.28023846,1573,2474329,17.175,8.385321333,11.8,1.80898,10.35,107.1225,30.40086
Belgium,2005,10.4096407,3.954917999,11.30658942,1565,2449225,17.218,8.474990669,11.5,1.78231,10.27,105.4729,31.045088
Belgium,2006,10.46927076,4.005657564,11.36162761,1572,2471184,17.155,8.266686065,10.3,1.81426,10.29,105.8841,31.754845
Belgium,2007,10.51197428,4.036533194,11.3951237,1577,2486929,17.08,7.491690366,9.9,1.84413,10.4,108.16,32.094864
Belgium,2008,10.5422639,4.061068194,11.41567314,1570,2464900,17.071,6.968329163,8.9,1.92413,10.36,107.3296,32.310043
Belgium,2009,10.53968939,4.082225016,11.42279897,1548,2396304,17.121,7.908421265,7.5,1.98537,10.88,118.3744,33.397053
Belgium,2010,10.59329589,4.140044146,11.4791343,1546,2390116,17.177,8.316578612,7,2.05081,10.64,113.2096,34.989502
Belgium,2011,10.61991735,4.15719721,11.50548007,1560,2433600,17.316,7.142355682,5.8,2.15533,10.59,112.1481,34.612984
Belgium,2012,10.65232623,4.19128694,11.53985453,1560,2433600,17.545,7.543499189,5.9,2.27334,10.5,110.25,35.316551
