year,temperature,gas,milk
1980,0.27,567777.0807,"410,629"
1981,0.33,553345.5501,"482,880"
1982,0.13,592862.1,"562,447"
1983,0.3,564652.2583,"675,168"
1984,0.15,551310.5385,"784,324"
1985,0.12,554318.2821,"931,384"
1986,0.19,569470.6118,"1,120,076"
1987,0.33,600408.9004,"1,348,497"
1988,0.4,594323.3854,"1,581,769"
1989,0.28,611381.4628,"1,559,405"
1990,0.44,642440.8789,"1,751,153"
1991,0.42,660724.9247,"1,827,069"
1992,0.23,673408.0558,"1,928,708"
1993,0.24,649277.5265,"1,948,951"
1994,0.31,670336.659,"2,142,000"
1995,0.45,674230.6505,"2,207,014"
1996,0.34,684565.0729,"2,268,059"
1997,0.47,775991.1188,"2,449,854"
1998,0.63,757021.7282,"1,957,746"
1999,0.41,704681.4822,"1,894,788"
2000,0.42,701695.7171,"2,280,881"
2001,0.54,698248.2985,"2,348,242"
2002,0.63,752766.8699,"2,300,612"
2003,0.62,770909.8284,"2,465,674"
2004,0.54,785554.4503,"2,382,735"
2005,0.69,811057.944,"2,248,965"
2006,0.63,848359.3278,"2,258,397"
2007,0.66,868633.9657,"2,254,010"
2008,0.53,840952.1542,"2,228,247"
2009,0.64,840760.3393,"2,211,004"
