time,const,dependent,ln_dep,dep_t3,ln_dep_t3,dep_t5,ln_dep_t5,dep_t6,dependent_t7,ln_dep_t7,bus,ln_bus,message,ln_msg,test_num,test_rate,test_daily,ln_tdaily,d_weekend,traffic,ln_traff,Retail_rec,ln_rec,Park,ln_park,Transit,ln_trans,mask,ln_mask
2020-01-20,1,1,0,0,0,0,0,1,1,0,5568344,15.53260826,0,0,0,0,0,0,0,7301127,15.80353928,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-01-21,1,0,0,1,0,1,0,1,0,0,5652732,15.54764953,0,0,11,0.000213563,11,2.397895273,0,7308268,15.80451687,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-01-22,1,0,0,0,0,1,0,0,3,1.098612289,5698046,15.55563387,0,0,16,0.000310638,5,1.609437912,0,7484876,15.82839501,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-01-23,1,0,0,1,0,0,0,3,3,1.098612289,5374963,15.49726225,2,0.693147181,16,0.000310638,0,0,0,8275536,15.92881425,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-01-24,1,1,0,1,0,3,1.098612289,3,4,1.386294361,2317161,14.65585329,13,2.564949357,25,0.000485371,9,2.197224577,0,8928776,16.00478988,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-01-25,1,0,0,0,0,3,1.098612289,4,1,0,1864316,14.43840479,4,1.386294361,25,0.000485371,0,0,1,11715861,16.27645412,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-01-26,1,1,0,3,1.098612289,4,1.386294361,1,3,1.098612289,2522098,14.74060165,3,1.098612289,48,0.000931913,23,3.135494216,1,9325717,16.04828641,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-01-27,1,1,0,3,1.098612289,1,0,3,0,0,2620429,14.7788486,9,2.197224577,57,0.001106646,9,2.197224577,0,6270956,15.65143937,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-01-28,1,0,0,4,1.386294361,3,1.098612289,0,1,0,1368691,14.12936537,11,2.397895273,187,0.003630576,130,4.86753445,0,6715378,15.71991068,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-01,1,1,0,1,0,5,1.609437912,1,0,0,3592987,15.09449445,19,2.944438979,371,0.007202908,127,4.844187086,1,6826452,15.73631562,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-02,1,3,1.098612289,2,0.693147181,1,0,2,3,1.098612289,2702687,14.80975702,32,3.465735903,429,0.008328969,58,4.060443011,1,5665116,15.54983793,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-03,1,0,0,5,1.609437912,0,0,5,0,0,5114671,15.44762363,26,3.258096538,429,0.008328969,0,0,0,6726419,15.72155346,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-04,1,1,0,1,0,3,1.098612289,1,1,0,5207212,15.46555515,25,3.218875825,607,0.011784812,178,5.18178355,0,6555860,15.69586986,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-05,1,2,0.693147181,0,0,0,0,0,0,0,5107388,15.44619868,17,2.833213344,714,0.0138622,107,4.672828834,0,6383797,15.66927362,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-06,1,5,1.609437912,3,1.098612289,1,0,3,0,0,5023482,15.42963388,18,2.890371758,885,0.017182139,171,5.141663557,0,6534327,15.69257992,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-07,1,1,0,0,0,0,0,0,0,0,5197875,15.46376045,24,3.17805383,1130,0.021938776,245,5.501258211,0,7342892,15.80924333,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-08,1,0,0,1,0,0,0,1,0,0,3507891,15.07052556,13,2.564949357,1701,0.033024653,571,6.34738921,1,6925750,15.75075691,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-09,1,3,1.098612289,0,0,0,0,0,1,0,2660991,14.79420917,12,2.48490665,2340,0.04543074,639,6.459904454,1,5887369,15.58831977,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-10,1,0,0,0,0,0,0,0,1,0,4991245,15.42319594,17,2.833213344,2776,0.053895613,436,6.077642243,0,6921732,15.75017659,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-11,1,1,0,0,0,1,0,0,1,0,5135337,15.45165603,13,2.564949357,3629,0.070456477,853,6.748759547,0,6848979,15.73961015,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A
2020-02-12,1,0,0,0,0,1,0,0,20,2.995732274,5026974,15.43032877,9,2.197224577,5074,0.09851093,1445,7.275864601,0,6295017,15.65526893,NaN,NaN,NaN,NaN,NaN,NaN,1185,7.077498054
2020-02-13,1,0,0,1,0,1,0,1,53,3.970291914,5188190,15.46189545,8,2.079441542,5797,0.112547864,723,6.583409222,0,6949804,15.75422402,NaN,NaN,NaN,NaN,NaN,NaN,1142,7.04053639
2020-02-14,1,0,0,1,0,20,2.995732274,1,100,4.605170186,5367025,15.49578431,7,1.945910149,6854,0.133069356,1057,6.963189986,0,7807108,15.87054516,NaN,NaN,NaN,NaN,NaN,NaN,1285,7.158513997
2020-02-15,1,0,0,1,0,53,3.970291914,1,229,5.433722004,3759558,15.13981196,4,1.386294361,7519,0.145980229,665,6.499787041,1,7720567,15.85939836,96,4.564348191,103,4.634728988,94,4.543294782,800,6.684611728
2020-02-16,1,1,0,20,2.995732274,100,4.605170186,20,169,5.129898715,2761989,14.83146163,10,2.302585093,7919,0.153746167,400,5.991464547,1,5824945,15.57766012,89,4.48863637,69,4.234106505,85,4.442651256,595,6.388561406
2020-02-17,1,1,0,53,3.970291914,229,5.433722004,53,231,5.442417711,5135827,15.45175144,14,2.63905733,8171,0.158638709,252,5.529429088,0,6311019,15.65780771,93,4.532599493,83,4.418840608,94,4.543294782,1173,7.067319849
2020-02-18,1,1,0,100,4.605170186,169,5.129898715,100,144,4.9698133,5117442,15.44816526,9,2.197224577,9265,0.17987855,1094,6.997595983,0,6578861,15.69937219,99,4.59511985,95,4.553876892,97,4.574710979,1194,7.085064294
2020-02-19,1,20,2.995732274,229,5.433722004,231,5.442417711,229,284,5.648974238,5167283,15.45785758,24,3.17805383,10411,0.202127964,1146,7.044032897,0,6850900,15.73989059,95,4.553876892,114,4.736198448,96,4.564348191,1297,7.167809184
2020-02-20,1,53,3.970291914,169,5.129898715,144,4.9698133,169,505,6.224558429,5058884,15.43665646,36,3.583518938,12161,0.236103945,1750,7.467371067,0,6923432,15.75042216,93,4.532599493,107,4.672828834,94,4.543294782,1292,7.163946684
2020-02-21,1,100,4.605170186,231,5.442417711,284,5.648974238,231,571,6.34738921,4941573,15.41319426,108,4.682131227,14816,0.287650362,2655,7.884199934,0,7353260,15.81065431,85,4.442651256,90,4.49980967,90,4.49980967,1323,7.187657164
